StationID,Year,Month,Day,Latitude,Longitude,StreamDischargeCFS,Air TemperatureC
14166000,2001,4,6,44.2704,236.82629,9390,9.75455
14166000,2001,4,7,44.2704,236.82629,10600,8.78964
14166000,2001,4,8,44.2704,236.82629,11700,7.90439
14166000,2001,4,9,44.2704,236.82629,12100,10.0827
14166000,2001,4,10,44.2704,236.82629,10300,10.9063
14166000,2001,4,11,44.2704,236.82629,10200,11.5732
14166000,2001,4,12,44.2704,236.82629,11100,10.0256
14166000,2001,4,13,44.2704,236.82629,11500,8.65677
14166000,2001,4,14,44.2704,236.82629,10500,7.0455
14166000,2001,4,15,44.2704,236.82629,9070,8.99045
14166000,2001,4,16,44.2704,236.82629,8620,10.3053
14166000,2001,4,17,44.2704,236.82629,8490,10.9453
14166000,2001,4,18,44.2704,236.82629,8360,15.1633
14166000,2001,4,19,44.2704,236.82629,8430,17.0778
14166000,2001,4,20,44.2704,236.82629,8550,16.3112
14166000,2001,4,21,44.2704,236.82629,7670,14.4355
14166000,2001,4,22,44.2704,236.82629,6760,14.8902
14166000,2001,4,23,44.2704,236.82629,6350,14.7588
14166000,2001,4,24,44.2704,236.82629,6230,14.6848
14166000,2001,4,25,44.2704,236.82629,6100,14.9987
14166000,2001,4,26,44.2704,236.82629,5980,13.5406
14166000,2001,4,27,44.2704,236.82629,5900,13.4388
14166000,2001,4,28,44.2704,236.82629,5920,14.8145
14166000,2001,4,29,44.2704,236.82629,6020,15.5605
14166000,2001,4,30,44.2704,236.82629,5870,12.8489
14166000,2001,5,1,44.2704,236.82629,8090,12.2657
14166000,2001,5,2,44.2704,236.82629,8120,12.0179
14166000,2001,5,3,44.2704,236.82629,7600,11.0183
14166000,2001,5,4,44.2704,236.82629,7640,9.67654
14166000,2001,5,5,44.2704,236.82629,7490,9.34201
14166000,2001,5,6,44.2704,236.82629,7050,10.0674
14166000,2001,5,7,44.2704,236.82629,6800,13.231
14166000,2001,5,8,44.2704,236.82629,6810,16.735
14166000,2001,5,9,44.2704,236.82629,7080,15.6592
14166000,2001,5,10,44.2704,236.82629,7350,13.3475
14166000,2001,5,11,44.2704,236.82629,7850,9.67191
14166000,2001,5,12,44.2704,236.82629,8110,9.59933
14166000,2001,5,13,44.2704,236.82629,8710,11.4911
14166000,2001,5,14,44.2704,236.82629,9380,14.5682
14166000,2001,5,15,44.2704,236.82629,11200,14.5464
14166000,2001,5,16,44.2704,236.82629,12300,12.8592
14166000,2001,5,17,44.2704,236.82629,12100,13.8842
14166000,2001,5,18,44.2704,236.82629,10600,14.1203
14166000,2001,5,19,44.2704,236.82629,9760,13.331
14166000,2001,5,20,44.2704,236.82629,9260,11.0689
14166000,2001,5,21,44.2704,236.82629,8750,12.4118
14166000,2001,5,22,44.2704,236.82629,9020,12.8465
14166000,2001,5,23,44.2704,236.82629,9530,12.2476
14166000,2001,5,24,44.2704,236.82629,8820,12.6001
14166000,2001,5,25,44.2704,236.82629,8440,15.9326
14166000,2001,5,26,44.2704,236.82629,8460,15.0884
14166000,2001,5,27,44.2704,236.82629,8610,13.7963
14166000,2001,5,28,44.2704,236.82629,8490,17.2047
14166000,2001,5,29,44.2704,236.82629,8360,17.2197
14166000,2001,5,30,44.2704,236.82629,8290,16.2271
14166000,2001,5,31,44.2704,236.82629,7960,16.872
14166000,2001,6,5,44.2704,236.82629,7620,15.346
14166000,2001,6,6,44.2704,236.82629,7310,16.6312
14166000,2001,6,7,44.2704,236.82629,6550,14.4608
14166000,2001,6,8,44.2704,236.82629,5360,17.5353
14166000,2001,6,9,44.2704,236.82629,4770,17.6162
14166000,2001,6,10,44.2704,236.82629,4270,16.1883
14166000,2001,6,11,44.2704,236.82629,3970,15.6212
14166000,2001,6,12,44.2704,236.82629,4190,13.3993
14166000,2001,6,13,44.2704,236.82629,4220,11.4651
14166000,2001,6,14,44.2704,236.82629,3950,12.4687
14166000,2001,6,15,44.2704,236.82629,3880,14.8029
14166000,2001,6,16,44.2704,236.82629,3760,14.9151
14166000,2001,6,17,44.2704,236.82629,3690,15.4641
14166000,2001,6,18,44.2704,236.82629,3590,18.9853
14166000,2001,6,19,44.2704,236.82629,3530,19.2082
14166000,2001,6,20,44.2704,236.82629,3450,21.5877
14166000,2001,6,21,44.2704,236.82629,3380,21.5401
14166000,2001,6,22,44.2704,236.82629,3340,24.1691
14166000,2001,6,23,44.2704,236.82629,3360,22.5963
14166000,2001,6,24,44.2704,236.82629,3380,20.2385
14166000,2001,6,25,44.2704,236.82629,3630,20.125
14166000,2001,6,26,44.2704,236.82629,3570,19.3015
14166000,2001,6,27,44.2704,236.82629,3740,16.3752
14166000,2001,6,28,44.2704,236.82629,3660,15.1579
14166000,2001,6,29,44.2704,236.82629,3550,15.4054
14166000,2001,6,30,44.2704,236.82629,3670,15.644
14166000,2001,7,1,44.2704,236.82629,3610,17.8654
14166000,2001,7,2,44.2704,236.82629,3490,18.6534
14166000,2001,7,3,44.2704,236.82629,3380,17.5398
14166000,2001,7,4,44.2704,236.82629,3380,17.8319
14166000,2001,7,5,44.2704,236.82629,3340,18.3832
14166000,2001,7,6,44.2704,236.82629,3270,20.7956
14166000,2001,7,7,44.2704,236.82629,3300,19.9957
14166000,2001,7,8,44.2704,236.82629,3230,19.5976
14166000,2001,7,9,44.2704,236.82629,3210,17.7204
14166000,2001,7,10,44.2704,236.82629,3190,16.3583
14166000,2001,7,11,44.2704,236.82629,3180,15.338
14166000,2001,7,12,44.2704,236.82629,3170,18.0229
14166000,2001,7,13,44.2704,236.82629,3200,21.6498
14166000,2001,7,14,44.2704,236.82629,3230,22.5704
14166000,2001,7,15,44.2704,236.82629,3320,24.6578
14166000,2001,7,16,44.2704,236.82629,3290,25.5973
14166000,2001,7,17,44.2704,236.82629,3160,24.0396
14166000,2001,7,18,44.2704,236.82629,3240,22.9716
14166000,2001,7,19,44.2704,236.82629,3260,20.8887
14166000,2001,7,20,44.2704,236.82629,3260,19.3538
14166000,2001,7,21,44.2704,236.82629,3220,19.5419
14166000,2001,7,22,44.2704,236.82629,3240,19.7883
14166000,2001,7,23,44.2704,236.82629,3190,19.1938
14166000,2001,7,24,44.2704,236.82629,3110,16.6067
14166000,2001,7,25,44.2704,236.82629,3160,17.6133
14166000,2001,7,26,44.2704,236.82629,3150,17.8622
14166000,2001,7,27,44.2704,236.82629,3120,18.2448
14166000,2001,7,28,44.2704,236.82629,3170,17.7442
14166000,2001,7,29,44.2704,236.82629,3190,17.8028
14166000,2001,7,30,44.2704,236.82629,3490,17.606
14166000,2001,7,31,44.2704,236.82629,3540,19.8299
14166000,2001,8,1,44.2704,236.82629,3630,20.4109
14166000,2001,8,2,44.2704,236.82629,3580,21.3197
14166000,2001,8,3,44.2704,236.82629,3660,22.115
